,title,pct_n_affected,total_cost
208,"(0, 0, 0, 0, 2, 1, 2, 0, 1)",19.2787059136,1245912.5
209,"(0, 0, 0, 0, 2, 1, 2, 0, 2)",19.0798196765,1263214.13333
210,"(0, 0, 0, 0, 2, 1, 2, 1, 0)",17.8599840891,1227308.53333
211,"(0, 0, 0, 0, 2, 1, 2, 1, 1)",17.2500662954,1236498.66667
212,"(0, 0, 0, 0, 2, 1, 2, 1, 2)",17.0511800583,1253800.3
213,"(0, 0, 0, 0, 2, 1, 2, 2, 0)",17.4489525325,1256246.7
214,"(0, 0, 0, 0, 2, 1, 2, 2, 1)",16.8390347388,1265436.83333
215,"(0, 0, 0, 0, 2, 1, 2, 2, 2)",16.6401485017,1282738.46667
216,"(0, 0, 0, 0, 2, 2, 0, 0, 0)",22.6199946964,1273976.03333
217,"(0, 0, 0, 0, 2, 2, 0, 0, 1)",22.0100769027,1283166.16667
218,"(0, 0, 0, 0, 2, 2, 0, 0, 2)",21.8111906656,1300467.8
219,"(0, 0, 0, 0, 2, 2, 0, 1, 0)",20.5913550782,1264562.2
220,"(0, 0, 0, 0, 2, 2, 0, 1, 1)",19.9814372845,1273752.33333
221,"(0, 0, 0, 0, 2, 2, 0, 1, 2)",19.7825510475,1291053.96667
222,"(0, 0, 0, 0, 2, 2, 0, 2, 0)",20.1803235216,1293500.36667
223,"(0, 0, 0, 0, 2, 2, 0, 2, 1)",19.5704057279,1302690.5
224,"(0, 0, 0, 0, 2, 2, 0, 2, 2)",19.3715194909,1319992.13333
225,"(0, 0, 0, 0, 2, 2, 1, 0, 0)",21.1614956245,1259111.83333
226,"(0, 0, 0, 0, 2, 2, 1, 0, 1)",20.5515778308,1268301.96667
227,"(0, 0, 0, 0, 2, 2, 1, 0, 2)",20.3526915937,1285603.6
228,"(0, 0, 0, 0, 2, 2, 1, 1, 0)",19.1328560064,1249698.0
229,"(0, 0, 0, 0, 2, 2, 1, 1, 1)",18.5229382127,1258888.13333
230,"(0, 0, 0, 0, 2, 2, 1, 1, 2)",18.3240519756,1276189.76667
231,"(0, 0, 0, 0, 2, 2, 1, 2, 0)",18.7218244497,1278636.16667
232,"(0, 0, 0, 0, 2, 2, 1, 2, 1)",18.1119066561,1287826.3
233,"(0, 0, 0, 0, 2, 2, 1, 2, 2)",17.913020419,1305127.93333
234,"(0, 0, 0, 0, 2, 2, 2, 0, 0)",19.8886237072,1260498.3
